"filename", "language", "SCSS", "JavaScript", "JSON", "PostCSS", "Vue", "Markdown", "XML", "HTML", "JSON with Comments", "comment", "blank", "total"
"g:\cxj\front\cxj\.hbuilderx\launch.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 1, 17
"g:\cxj\front\cxj\App.vue", "Vue", 0, 0, 0, 0, 59, 0, 0, 0, 0, 36, 10, 105
"g:\cxj\front\cxj\README.md", "Markdown", 0, 0, 0, 0, 0, 124, 0, 0, 0, 36, 62, 222
"g:\cxj\front\cxj\api\config.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 18, 8, 79
"g:\cxj\front\cxj\api\custom-request.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 0, 0, 12, 6, 144
"g:\cxj\front\cxj\api\index.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, 8, 36
"g:\cxj\front\cxj\api\modules\article.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 11, 12, 56
"g:\cxj\front\cxj\api\modules\coupon.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 5, 22
"g:\cxj\front\cxj\api\modules\goods.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 6, 32
"g:\cxj\front\cxj\api\modules\home.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 13, 45
"g:\cxj\front\cxj\api\modules\order.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 23, 17, 106
"g:\cxj\front\cxj\api\modules\user.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 23, 5, 77
"g:\cxj\front\cxj\components\add-btn-fixed.vue", "Vue", 0, 0, 0, 0, 89, 0, 0, 0, 0, 11, 3, 103
"g:\cxj\front\cxj\components\add-popup.vue", "Vue", 0, 0, 0, 0, 63, 0, 0, 0, 0, 4, 5, 72
"g:\cxj\front\cxj\components\colmun-act.vue", "Vue", 0, 0, 0, 0, 136, 0, 0, 0, 0, 1, 13, 150
"g:\cxj\front\cxj\components\img-swiper.vue", "Vue", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"g:\cxj\front\cxj\components\nav\dial-nav.vue", "Vue", 0, 0, 0, 0, 116, 0, 0, 0, 0, 10, 7, 133
"g:\cxj\front\cxj\components\nav\horizontal-scroll-nav.vue", "Vue", 0, 0, 0, 0, 129, 0, 0, 0, 0, 1, 12, 142
"g:\cxj\front\cxj\components\nav\icon-label-nav.vue", "Vue", 0, 0, 0, 0, 59, 0, 0, 0, 0, 1, 4, 64
"g:\cxj\front\cxj\components\nav\label-count.vue", "Vue", 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 3, 51
"g:\cxj\front\cxj\components\navbar\navbar-city-search.vue", "Vue", 0, 0, 0, 0, 144, 0, 0, 0, 0, 11, 8, 163
"g:\cxj\front\cxj\components\navbar\navbar-common.vue", "Vue", 0, 0, 0, 0, 115, 0, 0, 0, 0, 7, 15, 137
"g:\cxj\front\cxj\components\navbar\navbar-round-img.vue", "Vue", 0, 0, 0, 0, 74, 0, 0, 0, 0, 8, 3, 85
"g:\cxj\front\cxj\components\navbar\navbar-search.vue", "Vue", 0, 0, 0, 0, 133, 0, 0, 0, 0, 8, 3, 144
"g:\cxj\front\cxj\components\navbar\navbar-tab-search.vue", "Vue", 0, 0, 0, 0, 197, 0, 0, 0, 0, 12, 4, 213
"g:\cxj\front\cxj\components\navbar\navbar.vue", "Vue", 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 3, 37
"g:\cxj\front\cxj\components\no-data.vue", "Vue", 0, 0, 0, 0, 83, 0, 0, 0, 0, 2, 3, 88
"g:\cxj\front\cxj\components\popup-empty.vue", "Vue", 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 3, 35
"g:\cxj\front\cxj\components\search\search.vue", "Vue", 0, 0, 0, 0, 106, 0, 0, 0, 0, 10, 6, 122
"g:\cxj\front\cxj\components\select-reason.vue", "Vue", 0, 0, 0, 0, 97, 0, 0, 0, 0, 6, 6, 109
"g:\cxj\front\cxj\components\tabs.vue", "Vue", 0, 0, 0, 0, 78, 0, 0, 0, 0, 6, 3, 87
"g:\cxj\front\cxj\components\tag.vue", "Vue", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"g:\cxj\front\cxj\components\title-operate.vue", "Vue", 0, 0, 0, 0, 68, 0, 0, 0, 0, 9, 3, 80
